id;num_tombamento;denominacao;id_marca_produto;id_material;id_unidade_resp_atual;valor;data_inicio_uso;ano_balanco
189016;1040595;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189015;1040594;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189014;1040593;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189013;1040592;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189012;1040591;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189011;1040590;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189010;1040589;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189009;1040588;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189008;1040587;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189007;1040586;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189006;1040585;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189005;1040584;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189004;1040583;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189003;1040582;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189002;1040581;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189001;1040580;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189000;1040579;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
188999;1040578;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
188998;1040577;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
188997;1040576;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
188996;1040575;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
188995;1040574;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
188994;1040573;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
188993;1040572;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188992;1040571;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188991;1040570;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188990;1040569;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188989;1040568;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188988;1040567;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188987;1040566;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188986;1040565;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188985;1040564;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188984;1040563;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188983;1040562;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188982;1040561;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188981;1040560;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188980;1040559;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188979;1040558;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188978;1040557;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188977;1040556;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188976;1040555;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188975;1040554;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188974;1040553;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188973;1040552;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188972;1040551;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188971;1040550;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188970;1040549;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188969;1040548;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188968;1040547;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188967;1040546;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188966;1040545;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
188965;1040544;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;19.070.000;19/02/2018;2019
